date,time_utc,Q_m3s,station,river,location
2026-05-05,12:05,72.17,51880,Струма,с. Марино поле
2026-05-06,09:56,68.345,51880,Струма,с. Марино поле
2026-05-07,09:05,68.345,51880,Струма,с. Марино поле
2026-05-08,09:05,67.073,51880,Струма,с. Марино поле
2026-05-09,09:05,70.894,51880,Струма,с. Марино поле
2026-05-10,09:05,76.003,51880,Струма,с. Марино поле
2026-05-11,09:05,86.225,51880,Струма,с. Марино поле
2026-05-12,06:05,86.225,51880,Струма,с. Марино поле**
2026-05-12,10:48,94.996,51880,Струма,с. Марино поле**
2026-05-13,08:05,101.232,51880,Струма,с. Марино поле**
2026-05-14,08:05,99.984,51880,Струма,с. Марино поле**
2026-05-15,08:05,97.49,51880,Струма,с. Марино поле**
2026-05-16,08:05,91.251,51880,Струма,с. Марино поле**
2026-05-18,08:05,102.48,51880,Струма,с. Марино поле**
2026-05-19,08:05,97.49,51880,Струма,с. Марино поле**
2026-05-20,08:05,101.232,51880,Струма,с. Марино поле**
2026-05-21,08:05,92.5,51880,Струма,с. Марино поле**
2026-05-22,08:05,92.5,51880,Струма,с. Марино поле**
2026-05-23,08:05,106.229,51880,Струма,с. Марино поле**
2026-05-24,08:05,124.069,51880,Струма,с. Марино поле**
2026-05-25,08:05,120.203,51880,Струма,с. Марино поле**
2026-05-26,08:05,116.345,51880,Струма,с. Марино поле**
2026-05-27,08:05,120.203,51880,Струма,с. Марино поле**
2026-05-28,08:05,116.345,51880,Струма,с. Марино поле**
2026-05-29,08:05,113.78,51880,Струма,с. Марино поле**
2026-05-30,08:05,106.229,51880,Струма,с. Марино поле**
2026-05-31,08:05,98.737,51880,Струма,с. Марино поле**
2026-06-01,08:05,93.748,51880,Струма,с. Марино поле**
2026-06-02,08:05,91.251,51880,Струма,с. Марино поле**
2026-06-03,08:05,98.737,51880,Струма,с. Марино поле**
2026-06-04,08:05,106.229,51880,Струма,с. Марино поле**
2026-06-05,08:05,100.262,51880,Струма,с. Марино поле**
2026-06-06,08:05,78.482,51880,Струма,с. Марино поле**
2026-06-07,08:05,70.166,51880,Струма,с. Марино поле**
2026-06-08,08:05,65.415,51880,Струма,с. Марино поле**
2026-06-10,08:05,51.754,51880,Струма,с. Марино поле**
2026-06-11,08:05,51.754,51880,Струма,с. Марино поле**
2026-06-12,08:05,55.54,51880,Струма,с. Марино поле**
2026-06-13,08:05,50.679,51880,Струма,с. Марино поле**
2026-06-14,08:05,44.538,51880,Струма,с. Марино поле**
2026-06-15,08:05,38.875,51880,Струма,с. Марино поле**
2026-06-16,08:05,34.301,51880,Струма,с. Марино поле**
2026-06-17,08:05,31.634,51880,Струма,с. Марино поле**
2026-06-24,08:05,23.727,51880,Струма,с. Марино поле**
2026-06-25,08:05,28.25,51880,Струма,с. Марино поле**
2026-06-26,08:05,26.682,51880,Струма,с. Марино поле**
2026-06-27,08:05,25.921,51880,Струма,с. Марино поле**
2026-06-28,08:05,29.075,51880,Струма,с. Марино поле**
2026-06-29,08:05,28.25,51880,Струма,с. Марино поле**
2026-06-30,08:05,25.921,51880,Струма,с. Марино поле**
2026-07-01,08:05,25.921,51880,Струма,с. Марино поле**
2026-07-02,08:05,25.175,51880,Струма,с. Марино поле**
2026-07-03,08:05,26.682,51880,Струма,с. Марино поле**
2026-07-04,08:05,25.921,51880,Струма,с. Марино поле**
2026-07-05,08:05,23.024,51880,Струма,с. Марино поле**
2026-07-06,08:05,24.444,51880,Струма,с. Марино поле**
2026-07-07,08:05,28.25,51880,Струма,с. Марино поле**
2026-07-08,08:05,28.25,51880,Струма,с. Марино поле**
